sample	 AHL	 IPTG	 fluo	 gate	 mean	 sd
R	 0	 1	 GREEN	 1	 527.5	 13.4350288425444
R	 0	 1	 GREEN	 2	 NA	 NA
R	 0	 1	 RED	 1	 445.5	 7.77817459305202
R	 0	 1	 RED	 2	 NA	 NA
R	 0.003125	 0	 GREEN	 1	 593.25	 1.76776695296637
R	 0.003125	 0	 GREEN	 2	 NA	 NA
R	 0.003125	 0	 RED	 1	 298.5	 0.707106781186548
R	 0.003125	 0	 RED	 2	 NA	 NA
R	 0.003125	 0.0625	 GREEN	 1	 600.5	 13.4350288425444
R	 0.003125	 0.0625	 GREEN	 2	 NA	 NA
R	 0.003125	 0.0625	 RED	 1	 379.5	 0.707106781186548
R	 0.003125	 0.0625	 RED	 2	 NA	 NA
R	 0.003125	 0.125	 GREEN	 1	 586	 21.2132034355964
R	 0.003125	 0.125	 GREEN	 2	 NA	 NA
R	 0.003125	 0.125	 RED	 1	 398	 1.4142135623731
R	 0.003125	 0.125	 RED	 2	 NA	 NA
R	 0.003125	 0.25	 GREEN	 1	 549	 41.0121933088198
R	 0.003125	 0.25	 GREEN	 2	 339	 4.24264068711928
R	 0.003125	 0.25	 RED	 1	 440.5	 3.53553390593274
R	 0.003125	 0.25	 RED	 2	 489.5	 4.94974746830583
R	 0.003125	 0.5	 GREEN	 1	 532.5	 37.476659402887
R	 0.003125	 0.5	 GREEN	 2	 336.75	 3.88908729652601
R	 0.003125	 0.5	 RED	 1	 473	 2.82842712474619
R	 0.003125	 0.5	 RED	 2	 497	 8.48528137423857
R	 0.003125	 1	 GREEN	 1	 536.5	 48.7903679018718
R	 0.003125	 1	 GREEN	 2	 341.5	 2.12132034355964
R	 0.003125	 1	 RED	 1	 504.5	 26.1629509039023
R	 0.003125	 1	 RED	 2	 509.5	 17.6776695296637
R	 0.00625	 0	 GREEN	 1	 644.5	 6.36396103067893
R	 0.00625	 0	 GREEN	 2	 NA	 NA
R	 0.00625	 0	 RED	 1	 297.5	 6.36396103067893
R	 0.00625	 0	 RED	 2	 NA	 NA
R	 0.00625	 0.0625	 GREEN	 1	 667	 1.4142135623731
R	 0.00625	 0.0625	 GREEN	 2	 NA	 NA
R	 0.00625	 0.0625	 RED	 1	 381.5	 3.53553390593274
R	 0.00625	 0.0625	 RED	 2	 NA	 NA
R	 0.00625	 0.125	 GREEN	 1	 601.5	 37.476659402887
R	 0.00625	 0.125	 GREEN	 2	 341	 2.82842712474619
R	 0.00625	 0.125	 RED	 1	 417	 0
R	 0.00625	 0.125	 RED	 2	 499.5	 9.19238815542512
R	 0.00625	 0.25	 GREEN	 1	 595	 49.4974746830583
R	 0.00625	 0.25	 GREEN	 2	 337	 8.48528137423857
R	 0.00625	 0.25	 RED	 1	 480	 12.7279220613579
R	 0.00625	 0.25	 RED	 2	 511.5	 6.36396103067893
R	 0.00625	 0.5	 GREEN	 1	 611.5	 40.3050865276332
R	 0.00625	 0.5	 GREEN	 2	 340.5	 9.19238815542512
R	 0.00625	 0.5	 RED	 1	 531	 0
R	 0.00625	 0.5	 RED	 2	 530	 11.3137084989848
R	 0.00625	 1	 GREEN	 1	 637.75	 41.365746699413
R	 0.00625	 1	 GREEN	 2	 349	 18.3847763108502
R	 0.00625	 1	 RED	 1	 569	 22.6274169979695
R	 0.00625	 1	 RED	 2	 543.5	 19.0918830920368
R	 0.0125	 0	 GREEN	 1	 715.75	 12.3743686707646
R	 0.0125	 0	 GREEN	 2	 NA	 NA
R	 0.0125	 0	 RED	 1	 296	 2.82842712474619
R	 0.0125	 0	 RED	 2	 NA	 NA
R	 0.0125	 0.0625	 GREEN	 1	 732.5	 6.36396103067893
R	 0.0125	 0.0625	 GREEN	 2	 NA	 NA
R	 0.0125	 0.0625	 RED	 1	 393.5	 2.12132034355964
R	 0.0125	 0.0625	 RED	 2	 NA	 NA
R	 0.0125	 0.125	 GREEN	 1	 636	 49.4974746830583
R	 0.0125	 0.125	 GREEN	 2	 341	 1.4142135623731
R	 0.0125	 0.125	 RED	 1	 495.5	 4.94974746830583
R	 0.0125	 0.125	 RED	 2	 523	 7.07106781186548
R	 0.0125	 0.25	 GREEN	 1	 698.5	 14.8492424049175
R	 0.0125	 0.25	 GREEN	 2	 349	 5.65685424949238
R	 0.0125	 0.25	 RED	 1	 530.5	 37.476659402887
R	 0.0125	 0.25	 RED	 2	 543.5	 7.77817459305202
R	 0.0125	 0.5	 GREEN	 1	 694.5	 17.6776695296637
R	 0.0125	 0.5	 GREEN	 2	 361.5	 10.6066017177982
R	 0.0125	 0.5	 RED	 1	 590.75	 3.88908729652601
R	 0.0125	 0.5	 RED	 2	 566	 16.9705627484771
R	 0.0125	 1	 GREEN	 1	 708.5	 37.476659402887
R	 0.0125	 1	 GREEN	 2	 376	 29.698484809835
R	 0.0125	 1	 RED	 1	 620	 26.8700576850888
R	 0.0125	 1	 RED	 2	 581	 26.8700576850888
R	 0.025	 0	 GREEN	 1	 827.5	 28.9913780286484
R	 0.025	 0	 GREEN	 2	 NA	 NA
R	 0.025	 0	 RED	 1	 295	 1.4142135623731
R	 0.025	 0	 RED	 2	 NA	 NA
R	 0.025	 0.0625	 GREEN	 1	 715.5	 31.8198051533946
R	 0.025	 0.0625	 GREEN	 2	 355.5	 7.77817459305202
R	 0.025	 0.0625	 RED	 1	 417.5	 4.94974746830583
R	 0.025	 0.0625	 RED	 2	 530.5	 2.12132034355964
R	 0.025	 0.125	 GREEN	 1	 725	 19.7989898732233
R	 0.025	 0.125	 GREEN	 2	 351.5	 2.12132034355964
R	 0.025	 0.125	 RED	 1	 563.5	 7.77817459305202
R	 0.025	 0.125	 RED	 2	 566	 9.89949493661167
R	 0.025	 0.25	 GREEN	 1	 744.25	 17.3241161390704
R	 0.025	 0.25	 GREEN	 2	 367	 4.24264068711928
R	 0.025	 0.25	 RED	 1	 565.25	 61.8718433538229
R	 0.025	 0.25	 RED	 2	 589.5	 2.12132034355964
R	 0.025	 0.5	 GREEN	 1	 713	 NA
R	 0.025	 0.5	 GREEN	 2	 384.5	 9.19238815542512
R	 0.025	 0.5	 RED	 1	 653	 NA
R	 0.025	 0.5	 RED	 2	 619	 15.556349186104
R	 0.025	 1	 GREEN	 1	 NA	 NA
R	 0.025	 1	 GREEN	 2	 411.5	 34.6482322781408
R	 0.025	 1	 RED	 1	 NA	 NA
R	 0.025	 1	 RED	 2	 644.5	 36.0624458405139
R	 0.05	 0	 GREEN	 1	 877	 15.556349186104
R	 0.05	 0	 GREEN	 2	 NA	 NA
R	 0.05	 0	 RED	 1	 299	 0
R	 0.05	 0	 RED	 2	 NA	 NA
R	 0.05	 0.0625	 GREEN	 1	 739.25	 6.7175144212722
R	 0.05	 0.0625	 GREEN	 2	 368	 5.65685424949238
R	 0.05	 0.0625	 RED	 1	 543.25	 18.7383297014435
R	 0.05	 0.0625	 RED	 2	 589.5	 6.36396103067893
R	 0.05	 0.125	 GREEN	 1	 NA	 NA
R	 0.05	 0.125	 GREEN	 2	 387.5	 4.94974746830583
R	 0.05	 0.125	 RED	 1	 NA	 NA
R	 0.05	 0.125	 RED	 2	 633	 2.82842712474619
R	 0.05	 0.25	 GREEN	 1	 NA	 NA
R	 0.05	 0.25	 GREEN	 2	 403.5	 7.77817459305202
R	 0.05	 0.25	 RED	 1	 NA	 NA
R	 0.05	 0.25	 RED	 2	 663	 14.142135623731
R	 0.05	 0.5	 GREEN	 1	 NA	 NA
R	 0.05	 0.5	 GREEN	 2	 415.5	 12.0208152801713
R	 0.05	 0.5	 RED	 1	 NA	 NA
R	 0.05	 0.5	 RED	 2	 689	 16.9705627484771
R	 0.05	 1	 GREEN	 1	 NA	 NA
R	 0.05	 1	 GREEN	 2	 419	 24.0416305603426
R	 0.05	 1	 RED	 1	 NA	 NA
R	 0.05	 1	 RED	 2	 703	 42.4264068711929
R	 0.1	 0	 GREEN	 1	 875	 15.556349186104
R	 0.1	 0	 GREEN	 2	 551	 31.1126983722081
R	 0.1	 0	 RED	 1	 314	 5.65685424949238
R	 0.1	 0	 RED	 2	 672	 24.0416305603426
R	 0.1	 0.0625	 GREEN	 1	 NA	 NA
R	 0.1	 0.0625	 GREEN	 2	 404.5	 23.3345237791561
R	 0.1	 0.0625	 RED	 1	 NA	 NA
R	 0.1	 0.0625	 RED	 2	 656	 16.9705627484771
R	 0.1	 0.125	 GREEN	 1	 NA	 NA
R	 0.1	 0.125	 GREEN	 2	 406.5	 13.4350288425444
R	 0.1	 0.125	 RED	 1	 NA	 NA
R	 0.1	 0.125	 RED	 2	 688.5	 9.19238815542512
R	 0.1	 0.25	 GREEN	 1	 NA	 NA
R	 0.1	 0.25	 GREEN	 2	 400	 15.556349186104
R	 0.1	 0.25	 RED	 1	 NA	 NA
R	 0.1	 0.25	 RED	 2	 699.5	 13.4350288425444
R	 0.1	 0.5	 GREEN	 1	 NA	 NA
R	 0.1	 0.5	 GREEN	 2	 389.5	 10.6066017177982
R	 0.1	 0.5	 RED	 1	 NA	 NA
R	 0.1	 0.5	 RED	 2	 724	 19.7989898732233
R	 0.1	 1	 GREEN	 1	 NA	 NA
R	 0.1	 1	 GREEN	 2	 383.5	 6.36396103067893
R	 0.1	 1	 RED	 1	 NA	 NA
R	 0.1	 1	 RED	 2	 735.75	 33.587572106361
R	 10	 0	 GREEN	 1	 906.75	 14.4956890143242
R	 10	 0	 GREEN	 2	 450	 21.2132034355964
R	 10	 0	 RED	 1	 344.5	 7.77817459305202
R	 10	 0	 RED	 2	 820	 5.65685424949238
R	 10	 0.0625	 GREEN	 1	 NA	 NA
R	 10	 0.0625	 GREEN	 2	 354	 4.24264068711928
R	 10	 0.0625	 RED	 1	 NA	 NA
R	 10	 0.0625	 RED	 2	 803.5	 2.12132034355964
R	 10	 0.125	 GREEN	 1	 NA	 NA
R	 10	 0.125	 GREEN	 2	 330	 2.82842712474619
R	 10	 0.125	 RED	 1	 NA	 NA
R	 10	 0.125	 RED	 2	 785	 1.4142135623731
R	 10	 0.25	 GREEN	 1	 NA	 NA
R	 10	 0.25	 GREEN	 2	 316	 0
R	 10	 0.25	 RED	 1	 NA	 NA
R	 10	 0.25	 RED	 2	 769.5	 2.12132034355964
R	 10	 0.5	 GREEN	 1	 NA	 NA
R	 10	 0.5	 GREEN	 2	 308.5	 3.53553390593274
R	 10	 0.5	 RED	 1	 NA	 NA
R	 10	 0.5	 RED	 2	 756.5	 2.12132034355964
R	 10	 1	 GREEN	 1	 NA	 NA
R	 10	 1	 GREEN	 2	 305	 4.24264068711928
R	 10	 1	 RED	 1	 NA	 NA
R	 10	 1	 RED	 2	 748.5	 4.94974746830583
